id;title;summary;content;start_time;end_time;sender_id;priority;category;receiver_type;send_status;send_time;cancel_time;business_type;business_id;open_type;open_page;receiver_ids;created_by;created_date;last_modified_by;last_modified_date
1;community given 敢情;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-12-31T16:23:40;2023-12-31T15:18:47;5412;HIGH;TODO;USER;CANCELED;2023-12-31T20:11:02;2023-12-31T23:06:52;WORKFLOW;32415;URL;轻松 inside;../fake-data/blob/hipster.txt;231;2023-12-31T20:03:57;16352;2023-12-31T10:21:37
2;till but 坚固;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-12-31T22:21:45;2024-01-01T01:01:58;22598;LOW;TODO;DEPARTMENT;RELEASED;2023-12-31T13:07:47;2023-12-31T20:12:27;WORKFLOW;27328;MODAL_DETAIL;lest 别;../fake-data/blob/hipster.txt;23207;2023-12-31T19:27:39;14850;2023-12-31T06:42:41
3;ice-cream;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-12-31T09:32:49;2024-01-01T02:17:43;24737;HIGH;TODO;ALL;NOT_RELEASE;2024-01-01T06:27:09;2023-12-31T07:32:20;EMAIL;27727;MODAL_DETAIL;yowza 拣;../fake-data/blob/hipster.txt;18213;2024-01-01T02:34:44;22581;2023-12-31T23:06:17
4;熟练 gah;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-12-31T09:02:19;2023-12-31T17:30:03;26329;HIGH;NOTICE;USER;RELEASED;2024-01-01T02:19:31;2024-01-01T00:59:02;EMAIL;19212;URL;beside 苦 做;../fake-data/blob/hipster.txt;26666;2023-12-31T12:51:12;2391;2024-01-01T05:37:42
5;鲁莽 扔 百般;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-12-31T12:27:32;2023-12-31T18:21:54;11991;HIGH;SYSTEM_INFO;POSITION;RELEASED;2023-12-31T21:49:00;2023-12-31T13:37:48;EMAIL;16753;MODAL_DETAIL;blah cornet 撞;../fake-data/blob/hipster.txt;1990;2023-12-31T14:16:04;5349;2023-12-31T20:36:37
6;beneath emotion;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-12-31T11:47:32;2024-01-01T06:29:31;32399;LOW;SYSTEM_INFO;AUTHORITY;CANCELED;2023-12-31T16:16:50;2023-12-31T21:27:05;EMAIL;11172;COMPONENT;adoption story;../fake-data/blob/hipster.txt;23961;2023-12-31T10:10:13;1731;2023-12-31T21:28:08
7;pro duh;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-12-31T11:38:07;2023-12-31T23:03:48;20178;MEDIUM;SYSTEM_INFO;DEPARTMENT;RELEASED;2023-12-31T11:43:13;2023-12-31T17:38:05;WORKFLOW;13195;MODAL_DETAIL;off supposing 飞;../fake-data/blob/hipster.txt;7294;2023-12-31T14:00:21;3919;2024-01-01T03:34:10
8;咀 an drat;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-01-01T01:25:04;2023-12-31T10:36:22;7372;MEDIUM;TODO;POSITION;CANCELED;2023-12-31T23:56:13;2023-12-31T22:59:14;EMAIL;29713;COMPONENT;渐渐 掷;../fake-data/blob/hipster.txt;5549;2024-01-01T00:40:01;29375;2023-12-31T14:10:30
9;只;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-12-31T10:11:37;2023-12-31T07:54:00;29885;LOW;SYSTEM_INFO;POSITION;RELEASED;2023-12-31T13:22:13;2024-01-01T00:57:12;WORKFLOW;8583;COMPONENT;inquiry uh-huh 绿;../fake-data/blob/hipster.txt;27078;2023-12-31T16:00:01;504;2023-12-31T16:51:54
10;lest hm bah;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-12-31T09:03:48;2024-01-01T00:04:51;32597;MEDIUM;SYSTEM_INFO;POSITION;RELEASED;2023-12-31T09:46:14;2024-01-01T03:23:53;WORKFLOW;26584;URL;towards than;../fake-data/blob/hipster.txt;2349;2023-12-31T19:37:46;22735;2023-12-31T07:36:58
