id;service_name;name;code;description;type;method;url;status
1;toward discretion 捧;notwithstanding;平常 pro;拍 below;ENTITY;as gah when;https://-compassionate.com/;PERMIT_ALL
2;rim once;until 咬 hmph;稍微 抱;once 就 planter;API;雪白 跑;https://-appointment.name;AUTHENTICATE
3;now personality amidst;太;挥 吃;incidentally;MICRO_SERVICE;软 长;https://-conference.net;CONFIGURABLE
4;rubbish 咬;around band;好;ah;ENTITY;between what;https://-editing.biz;UNREACHABLE
5;稍微 甜;生动 逐渐;coconut yahoo;unless checkroom skullcap;BUSINESS;excepting forenenst cattle;https://-accompanist.net/;AUTHENTICATE
6;走;leek;footprint 推 坏;phooey blah 一同;ENTITY;拣;https://-tandem.net;AUTHENTICATE
7;ha video;or 别;nor;ouch 好;MICRO_SERVICE;吸 mmm;https://-citizen.info;PERMIT_ALL
8;老实 besides instead;极 scratch but;fooey;写 拿 ruckus;API;barring 细;https://-rhinoceros.org;PERMIT_ALL
9;必定 oof;拉 坏 捧;until 也许 while;meh;API;ouch hmph 坏;https://-post.info/;PERMIT_ALL
10;sickness 好在 比较;操作 勇敢 冷;何尝 though;仅仅;API;between 略微 绿;https://-swordfish.name/;UNREACHABLE
