id;name;code;description;icon
1;打 yowza 一共;统统 when 揽;work unlike;before aw eek
2;捺 livestock 倒;整齐 outside or;骨碌碌 笔直 hence;苦 whoa posterior
3;gee 十分 写;excepting 极;少;since shackle till
4;ew 蠕动;carpet including;热 全部;抛 相当 as
5;instead hence;funding;偏偏 uh-huh dramaturge;the
6;muskrat plus 拍;掘;indeed than 勇敢;van
7;yippee;短;chairlift;indeed
8;when 稍微;beyond 一定 快;差点儿 轻松 fooey;towards 绿油油 up
9;per whenever;yippee before;following merchant;fawn parenthesis
10;blah whereas ginger;opposite whether;eek 大 whose;何尝 笔直 cap
