id;name;value;label;value_type;remark;sort_value;disabled;owner_entity_name;owner_entity_id
1;托;嚼 gosh 轻松;phooey 一概;RADIO;though for between;17384;true;breakdown past;2694
2;apropos;consequently ark 聪明;扶;LOCATE_DATE;gosh mmm anenst;14320;false;难道;4451
3;furthermore 特地;onto;kilt;BOOLEAN;甜;2949;true;huzzah;26946
4;bust;格外 that;挥 mmm in;LONG;冷 也许 抚;5123;true;geez;9986
5;oof 雪白;um um;lest;DOUBLE;击 差点儿;29686;false;格外 轻松;11518
6;regarding 倒 intensity;yuck;爬;IMAGEBLOB;捏 关闭 果然;15909;false;termination;29416
7;走 supposing 别;抬 吞;duh what pfft;INTEGER;amidst absent;23711;false;细 atop by;17422
8;aha nickname;好在;pro 劈 considering;INTEGER;mmm 生动;29898;false;yum;28838
9;unto;although;mid symptom whenever;FLOAT;jewelry;26037;false;supposing;14088
10;ew 一定;太 vice;拖 although 咀;UPLOAD_FILE;啃 操作;30456;false;摘 yowza 播;24369
