id;name;code;address;phone_num;logo;contact
1;whenever 撬;ouch provided;关闭 till apud;or unless consequently;绿油油 全;掘
2;aha;until 捺;zowie whenever 坚固;gee 惟独;uh-huh zucchini 净;倒 inside
3;惟独;猛然;可 abaft;毅然;than;最 excluding geez
4;lest;全 咀 生动;whenever but;坚固 for;and;knickers but
5;despite 笔直 beneath;跑 整;hence;捏 earmuffs if;workplace 握 gah;ticket e-reader 生动
6;until pfft;几乎 一起;barring;就;versus boohoo if;绿油油
7;平坦 一道 一概;大方 boohoo;whenever aw;psst like;makeup;complication 扭 慢
8;必然 索性 observatory;breadfruit;spark lightning inflammation;一同;ew atop 咀;搜 差点儿 一概
9;beginner;above nor 红;rating behind;全;干脆;热 terrace
10;meanwhile 拖 捣;gosh 渐渐;snowsuit footage;with off out;aw however;er 一共
