id;sort_value;field_param_type;field_param_value;date_pattern;seq_length;seq_increment;seq_start_value
1;30156;DATETIME;搔;慢;7916;11230;21166
2;6265;NUMBER;pfft;instead 擅自;3713;5541;20227
3;11196;PARAM;notwithstanding;allergist consequently 关闭;23540;28372;5712
4;15414;PARAM;so into 勇敢;拨;7499;1211;18706
5;23393;FIXED_CHAR;血淋淋;yahoo anti wardrobe;14726;1525;21848
6;18499;NUMBER;boo eyrie alongside;midst;30882;25668;12327
7;31246;DATETIME;save 更加;毅然;25795;27062;8863
8;24252;NUMBER;拉;抓;1449;18388;18581
9;21943;NUMBER;despite now 最;平常;15024;7926;29452
10;11140;DATETIME;一概 整齐;tub;30575;17971;27390
