id;name;code;info;order;display
1;全;compress 冷 er;净 ack;28898;false
2;throughout 冷;compassionate discussion consequence;pish;21039;false
3;可;全 好些 黑不溜秋;huzzah 一味 concerning;18946;false
4;gadzooks within 聪明;pish finally 捶;fashion 勇敢 pricing;32332;true
5;astride;basketball 短;round;31227;false
6;eyestrain combat 短;who 举;since apropos;9162;true
7;依然 简直 gah;轻松 with;comradeship 极其 sonata;10557;false
8;一齐 少;as without blah;destiny;27335;false
9;许多;upon 一道 搂;hence;15053;false
10;past;捶 disdain wingtip;勇敢 难道;31250;false
