id;name;area_code;city_code;merger_name;short_name;zip_code;level;lng;lat
1;马虎 gosh;爬 果然 after;or er;below or;if aha duh;644654;CITY;21534.25;29274.07
2;扔 硬;当然;woot moccasins 软;notwithstanding;content 敲 heartwood;948064;PROVINCE;25283.94;12176.86
3;aboard 冷;好在 一味;regarding;细 passport;甜 yahoo;747865;CITY;4594.43;216.87
4;where 好;ivory barrel hm;numismatist dancing 都;ha 红;勇敢;770475;CITY;533.24;26665.28
5;yum and forenenst;while 却 剪;好在;rose yahoo 百般;咀 since across;674604;TOWN;14063.11;1437.21
6;lest;撕 好;甜 solidarity;but anenst gadzooks;硬 整;568585;CITY;29110.15;28434.46
7;血淋淋 粗 捧;plea;below except wherever;toward 大约;画 互相;562828;COUNTY;26658.39;4020.8
8;一共 process between;boo;干脆 underneath 慢;so;红;801816;TOWN;3673.59;12297.8
9;抽;phew;吃 since;摘 while;别 gosh 写;583532;PROVINCE;8894.31;22170.9
10;proposition 更 along;waterfall ugh;伟大 phew citrus;and;pfft;572124;CITY;14443.47;2556.12
