id;category_name;category_key;disabled;sort_value;built_in;created_by;created_date;last_modified_by;last_modified_date
1;oof till;as;false;21788;true;9520;2023-12-31T09:05:55;17937;2023-12-31T08:14:18
2;硬 依然 blah;knock 十分;false;12078;true;32554;2023-12-31T17:45:28;26285;2023-12-31T10:50:39
3;托;yuck 全;true;29096;true;31300;2024-01-01T03:27:50;11293;2023-12-31T23:13:37
4;细;beside aha;false;12411;true;1434;2023-12-31T20:44:09;2645;2023-12-31T21:56:02
5;where;mid 大约;false;19828;true;20768;2023-12-31T11:11:21;3895;2023-12-31T09:39:02
6;meh oof coin;once;true;21721;true;17341;2024-01-01T01:29:12;4120;2023-12-31T07:37:15
7;干脆;击 up 拨;false;25859;false;230;2023-12-31T20:16:21;1146;2024-01-01T00:50:34
8;播;toothbrush 拣 next;false;1510;true;14165;2023-12-31T21:41:01;12598;2023-12-31T16:27:02
9;within;since 全部;true;12159;false;18992;2023-12-31T14:33:53;18482;2023-12-31T10:25:49
10;supposing;phooey;true;12521;true;19125;2024-01-01T03:44:42;19113;2024-01-01T00:09:17
