id;name;code;desc;enabled;reset_frequency;seq_value;fill_value;impl_class;params;reset_start_time;reset_end_time;reset_time
1;by ephyra;bah hmph;uh-huh although;true;WEEKLY;13382;必然 aha;剪;却 ack 少;2023-12-31T20:36:02;2023-12-31T23:24:07;2023-12-31T09:50:33
2;pfft oof;披;who abaft 整;true;WEEKLY;11242;eek;写;whether pinstripe outside;2023-12-31T09:12:58;2024-01-01T04:38:34;2023-12-31T10:20:09
3;wherever woot;少 incidentally because;比较 consequently;true;WEEKLY;21610;hmph;finally placebo 生动;写 难道 whose;2024-01-01T03:03:50;2023-12-31T16:52:44;2023-12-31T14:33:47
4;擅自 indeed 搡;against;剪 揍 互相;true;DAILY;25701;boo;一同;大;2024-01-01T05:06:19;2023-12-31T12:13:12;2024-01-01T05:19:34
5;一齐;regret between;boo;true;CUSTOM;30822;blah;upon 操作 拆;好些;2023-12-31T09:32:27;2023-12-31T19:24:24;2024-01-01T04:19:40
6;全 zowie 短;别;一道;false;MONTHLY;29355;or 撬 bah;mmm;um;2024-01-01T06:09:33;2023-12-31T23:44:09;2023-12-31T06:41:30
7;rage 甜 转动;with;brr 咬 even;true;MONTHLY;8335;who than;against;整齐;2023-12-31T20:46:35;2023-12-31T16:38:46;2023-12-31T13:50:06
8;associate 摊;切 掘 抓;aw parallelogram;true;WEEKLY;30194;pipe 冷 inside;apud;吃 hence;2023-12-31T18:41:03;2024-01-01T02:00:37;2024-01-01T05:43:31
9;拖 干脆;别 meh;hydrolyze 坏 or;false;NONE;5394;inasmuch;implement 拖;黑不溜秋;2024-01-01T01:07:39;2023-12-31T14:22:32;2023-12-31T14:59:58
10;扶 几乎;ha whoa;without till liberty;true;DAILY;32655;before 全部 as;absent;ack 搡;2023-12-31T20:42:10;2024-01-01T01:48:08;2024-01-01T00:08:23
