id;request_url;log_type;log_content;operate_type;userid;username;ip;method;request_param;request_type;cost_time;created_by;created_date;last_modified_by;last_modified_date
1;mmm 仅仅;OPERATE;gee;DELETE;略微 ex-husband yippee;castle er;摊 instead;eek;../fake-data/blob/hipster.txt;down whenever that;11598;32160;2023-12-31T11:28:21;28685;2023-12-31T09:51:03
2;很 duh 软;LOGIN;必定 treasury 熟练;LOGIN;许多 更;anesthesiology 可 骨碌碌;whereas;整齐 慢;../fake-data/blob/hipster.txt;brr 没 since;3083;16273;2024-01-01T06:27:55;11822;2023-12-31T06:46:35
3;rope optimization;LOGIN;anenst until psst;LIST;细;forenenst 抚;qua 全;company 猛然;../fake-data/blob/hipster.txt;红 who;32357;28417;2023-12-31T21:35:26;9941;2023-12-31T11:36:35
4;擅自 phooey whoa;OPERATE;骨碌碌 挥;AUDIT;fooey;拨;击 er;psst alfalfa 很;../fake-data/blob/hipster.txt;切;26690;11789;2024-01-01T01:00:38;26177;2023-12-31T11:55:08
5;推 beyond pish;OPERATE;duh;LIST;afore 熟练 pace;complaint 掷;character;at discretion 多么;../fake-data/blob/hipster.txt;拎;1850;11997;2023-12-31T10:21:45;5006;2023-12-31T12:30:24
6;短 barracks;OPERATE;son 摘 at;VIEW;ha yum 更加;although consequently;黑不溜秋 and leisure;撒 yippee 总共;../fake-data/blob/hipster.txt;掘;24100;2796;2023-12-31T09:57:32;4481;2023-12-31T14:29:45
7;dogsled 雪白;OPERATE;whoever against;LOGIN;雪白;何尝 共;because gosh sprat;咬;../fake-data/blob/hipster.txt;shortage phew army;2874;29875;2023-12-31T20:57:41;19661;2023-12-31T08:14:37
8;倒 逐渐 eek;OPERATE;aw now;EXPORT;nature nor;stole 雪白 软;更 插;全 互相 including;../fake-data/blob/hipster.txt;极其 or 披;29256;17435;2023-12-31T16:08:45;30242;2023-12-31T22:33:02
9;搀 what yuck;OPERATE;melody 必定 scarification;LIST;一定 攥;共 好 鲁莽;轻松;panic save;../fake-data/blob/hipster.txt;单 litter grove;31437;27860;2023-12-31T06:38:02;2782;2023-12-31T11:13:25
10;what 伟大 全;LOGIN;that adapter;LOGIN;eek skating;why 慢 eek;单;whose 仿佛;../fake-data/blob/hipster.txt;peacock 短 consequently;17018;19891;2023-12-31T14:57:27;18930;2023-12-31T15:45:59
