id;category_name;category_key;disabled;sort_value;built_in;created_by;created_date;last_modified_by;last_modified_date
1;modulo sans;多么;true;1333;false;15852;2024-10-24T11:44:20;29090;2024-10-24T03:57:35
2;何尝 overload 持;dusk upon;false;21591;true;17622;2024-10-24T05:44:03;8991;2024-10-24T02:24:38
3;since 必定 却;挡 whenever;false;7482;false;31887;2024-10-24T04:58:38;19738;2024-10-24T11:19:13
4;footprint 全部;gee phooey;false;2605;true;1843;2024-10-24T05:36:31;30279;2024-10-24T05:19:37
5;regarding 生动 like;until;true;23167;true;30255;2024-10-23T23:58:01;24902;2024-10-23T14:54:16
6;聪明;from supposing;false;28943;false;15791;2024-10-23T21:04:36;9278;2024-10-24T04:22:20
7;down 骨碌碌;psst;true;30448;true;5423;2024-10-23T14:14:32;4571;2024-10-24T08:11:22
8;promise;马虎 certainty 幸亏;true;21338;false;28525;2024-10-23T20:07:17;41;2024-10-24T03:43:34
9;许多 afore;老实;true;16192;false;11053;2024-10-23T22:34:46;19478;2024-10-23T14:38:58
10;since;大方 擅自;true;2793;true;12866;2024-10-23T17:03:45;8491;2024-10-23T17:01:31
