id;name;value;label;value_type;remark;sort_value;disabled;owner_entity_name;owner_entity_id
1;菜单;MENU;菜单;String;菜单;1;0;Dictionary;1
2;按钮;BUTTON;按钮;String;按钮;2;0;Dictionary;1
3;新窗口;BLANK;新窗口;String;新窗口;3;0;Dictionary;2
4;当前窗口;SELF;当前窗口;String;当前窗口;4;0;Dictionary;2
5;父窗口;PARENT;父窗口;String;父窗口;5;0;Dictionary;2
6;顶层窗口;TOP;顶层窗口;String;顶层窗口;6;0;Dictionary;2
7;业务;BUSINESS;业务;String;业务;7;0;Dictionary;3
8;API接口;API;API接口;String;API接口;8;0;Dictionary;3
9;实体;ENTITY;实体;String;实体;9;0;Dictionary;3
10;微服务;MICRO_SERVICE;微服务;String;微服务;10;0;Dictionary;3
11;可配置;CONFIGURABLE;可配置;String;可配置;11;0;Dictionary;4
12;允许所有;PERMIT_ALL;允许所有;String;允许所有;12;0;Dictionary;4
13;不可达;UNREACHABLE;不可达;String;不可达;13;0;Dictionary;4
14;认证;AUTHENTICATE;认证;String;认证;14;0;Dictionary;4
15;邮件;EMAIL;邮件;String;邮件;15;0;Dictionary;5
16;短信;SMS;短信;String;短信;16;0;Dictionary;5
17;微信;WECHAT;微信;String;微信;17;0;Dictionary;5
18;通知短信;MESSAGE;通知短信;String;通知短信;18;0;Dictionary;6
19;验证码;VERIFICATION;验证码;String;验证码;19;0;Dictionary;6
20;推广短信;PROMOTION;推广短信;String;推广短信;20;0;Dictionary;6
21;阿里云;ALIBABA;阿里云;String;阿里云;21;0;Dictionary;7
22;华为云;HUAWEI;华为云;String;华为云;22;0;Dictionary;7
23;云片;YUNPIAN;云片;String;云片;23;0;Dictionary;7
24;腾讯云;TENCENT;腾讯云;String;腾讯云;24;0;Dictionary;7
25;合一;UNI_SMS;合一;String;合一;25;0;Dictionary;7
26;京东云;JD_CLOUD;京东云;String;京东云;26;0;Dictionary;7
27;容联云;CLOOPEN;容联云;String;容联云;27;0;Dictionary;7
28;亿美软通;EMAY;亿美软通;String;亿美软通;28;0;Dictionary;7
29;本地;LOCAL;本地;String;本地;29;0;Dictionary;8
30;MINIO;MINIO;MINIO;String;MINIO;30;0;Dictionary;8
31;七牛云;QINIU;七牛云;String;七牛云;31;0;Dictionary;8
32;阿里云;ALI;阿里云;String;阿里云;32;0;Dictionary;8
33;腾讯云;TENCENT;腾讯云;String;腾讯云;33;0;Dictionary;8
34;整数;INTEGER;整数;String;整数;34;0;Dictionary;9
35;长整数;LONG;长整数;String;长整数;35;0;Dictionary;9
36;布尔;BOOLEAN;布尔;String;布尔;36;0;Dictionary;9
37;字符串;STRING;字符串;String;字符串;37;0;Dictionary;9
